序号;文件序号;文件名称;名称;位置;合同号;软件版本;修改日期;匹配;大小;类型;创建日期;最后访问日期;文件扩展名;行;文本
415;1;D:\24.工程设计备份\L辽宁\2008年度\SZ080222-1朝阳220kV柳城变\110510服务记录\后台\110510.朝阳220kV柳城变设计更改单.xls;110510.朝阳220kV柳城变设计更改单.xls;D:\24.工程设计备份\L辽宁\2008年度\SZ080222-1朝阳220kV柳城变\110510服务记录\后台\;SZ080222;;2016/11/28 14:22;2;56 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:17;2017/8/29 7:17;XLS;19;"Unix服务器：PRS-700U-标准S-(P1)-V1.40-20101228"" 校验码"
416;2;D:\24.工程设计备份\L辽宁\2008年度\SZ080222-1朝阳220kV柳城变\110510服务记录\后台\110510.朝阳220kV柳城变设计更改单.xls;110510.朝阳220kV柳城变设计更改单.xls;D:\24.工程设计备份\L辽宁\2008年度\SZ080222-1朝阳220kV柳城变\110510服务记录\后台\;SZ080222;;2016/11/28 14:22;2;56 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:17;2017/8/29 7:17;XLS;23;原版本号 PRS700UV1.41Build20090403chaoyLiuc 新版本号 PRS-700U-标准S-(P1)-V1.40-20101228
417;1;D:\24.工程设计备份\L辽宁\2008年度\SZ080222-1朝阳220kV柳城变\120827服务记录\后台\120827辽宁朝阳220kV柳城变监控系统设计更改单.xls;120827辽宁朝阳220kV柳城变监控系统设计更改单.xls;D:\24.工程设计备份\L辽宁\2008年度\SZ080222-1朝阳220kV柳城变\120827服务记录\后台\;SZ080222;;2016/11/28 14:22;1;112 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:17;2017/8/29 7:17;XLS;30;"791A：ISA301C.v350柳城变P4"" 新版本号 ""后台维护机：PRS-700U-标准(辽宁朝阳220kV柳城变维护机程序P2)-S-V1.40-120827"
631;1;D:\24.工程设计备份\S山西\2008年度\SZ080433-1大同220kV高山变\110913服务记录\后台\20110913.山西大同220kV高山变监控系统设计更改单.xls;20110913.山西大同220kV高山变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2008年度\SZ080433-1大同220kV高山变\110913服务记录\后台\;SZ080433;;2016/11/28 16:41;3;56 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:32;2017/8/28 22:32;XLS;17;"程序路径： ⑴\\dazx\GC\通讯后台\后台软件\PRS700U后台监控程序\标准程序\半U标准程序\SPARC\PRS-700U-标准S-(P1)-V1.40-20101228.zip ⑵\\dazx\GC\通讯后台\后台软件\PRS700U后台监控程序\标准程序\半U标准程序\SPARC\PRS-700U-标准(维护机P1)-S-V1.40-20101228.exe"" 校验码"
632;2;D:\24.工程设计备份\S山西\2008年度\SZ080433-1大同220kV高山变\110913服务记录\后台\20110913.山西大同220kV高山变监控系统设计更改单.xls;20110913.山西大同220kV高山变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2008年度\SZ080433-1大同220kV高山变\110913服务记录\后台\;SZ080433;;2016/11/28 16:41;3;56 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:32;2017/8/28 22:32;XLS;21;原版本号 PRS700UV14gs20090113 新版本号 PRS-700U-标准S-(P1)-V1.40-20101228
179;1;D:\24.工程设计备份\H河北\2008年度\SZ080679承德枫泽风电变\120617服务记录\后台\120629河北承德红松风电泽枫变监控系统设计更改单.xls;120629河北承德红松风电泽枫变监控系统设计更改单.xls;D:\24.工程设计备份\H河北\2008年度\SZ080679承德枫泽风电变\120617服务记录\后台\;SZ080679;;2016/11/25 10:33;2;113 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:32;2017/8/28 19:32;XLS;29;后台：PRS-700U-标准X(河北承德红松风电P1)-S-V3.00-120617.zip
180;2;D:\24.工程设计备份\H河北\2008年度\SZ080679承德枫泽风电变\120617服务记录\后台\120629河北承德红松风电泽枫变监控系统设计更改单.xls;120629河北承德红松风电泽枫变监控系统设计更改单.xls;D:\24.工程设计备份\H河北\2008年度\SZ080679承德枫泽风电变\120617服务记录\后台\;SZ080679;;2016/11/25 10:33;2;113 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:32;2017/8/28 19:32;XLS;34;"原版本号 301C：ISA301C.v350.枫泽风电P5 新版本号 ""后台：PRS-700U-标准X(河北承德红松风电P1)-S-V3.00-120617"
239;1;D:\24.工程设计备份\H河北\2013年度\SZ080679河北承德枫泽风电110kV变综自\00设计软件\后台\工程设计更改单.xls;工程设计更改单.xls;D:\24.工程设计备份\H河北\2013年度\SZ080679河北承德枫泽风电110kV变综自\00设计软件\后台\;SZ080679;;2016/11/25 10:33;2;31 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:50;2017/8/28 19:50;XLS;10;更改装置型号 PRS-700U 更改类别 工程软件 技术定位 其他
240;2;D:\24.工程设计备份\H河北\2013年度\SZ080679河北承德枫泽风电110kV变综自\00设计软件\后台\工程设计更改单.xls;工程设计更改单.xls;D:\24.工程设计备份\H河北\2013年度\SZ080679河北承德枫泽风电110kV变综自\00设计软件\后台\;SZ080679;;2016/11/25 10:33;2;31 KB;Microsoft Excel 97-2003 工作表;2017/8/28 19:50;2017/8/28 19:50;XLS;21;原版本号 PRS700U-BIAOZHUN-ZEFENG-X86-V300-120825 新版本号 PRS-700U-标准X(河北承德红松风电泽枫变P2)-S-V3.0-130725
418;1;D:\24.工程设计备份\L辽宁\2008年度\SZ080710-1阜新风电二期220kV中心变\130718服务记录\后台\130718辽宁华能阜新风电场二期阜北风电通讯后台设计更改单.xls;130718辽宁华能阜新风电场二期阜北风电通讯后台设计更改单.xls;D:\24.工程设计备份\L辽宁\2008年度\SZ080710-1阜新风电二期220kV中心变\130718服务记录\后台\;SZ080710;;2016/11/28 14:22;2;31 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:17;2017/8/29 7:17;XLS;21;原版本号 PRS-700U-标准S-(P1)-V1.40-2010122 新版本号 PRS-700U-标准X(辽宁阜新风电三期)-S-V1.4-130605
419;1;D:\24.工程设计备份\L辽宁\2008年度\SZ080710-1阜新风电二期220kV中心变\120606服务记录\后台\120606辽宁华能阜新风电220kV中心变工程设计更改单.xls;120606辽宁华能阜新风电220kV中心变工程设计更改单.xls;D:\24.工程设计备份\L辽宁\2008年度\SZ080710-1阜新风电二期220kV中心变\120606服务记录\后台\;SZ080710;;2016/11/28 14:22;4;112 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:16;2017/8/29 7:16;XLS;17;后台：修改PRS-700U（半U V1.40），即PRS700W程序，增加转发表5~10，并增加转发表量程。
420;2;D:\24.工程设计备份\L辽宁\2008年度\SZ080710-1阜新风电二期220kV中心变\120606服务记录\后台\120606辽宁华能阜新风电220kV中心变工程设计更改单.xls;120606辽宁华能阜新风电220kV中心变工程设计更改单.xls;D:\24.工程设计备份\L辽宁\2008年度\SZ080710-1阜新风电二期220kV中心变\120606服务记录\后台\;SZ080710;;2016/11/28 14:22;4;112 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:16;2017/8/29 7:16;XLS;29;"后台：PRS-700U-特殊(辽宁阜新风电中心变维护机P2)-S-V1.40-120606.rar"" 校验码"
421;3;D:\24.工程设计备份\L辽宁\2008年度\SZ080710-1阜新风电二期220kV中心变\120606服务记录\后台\120606辽宁华能阜新风电220kV中心变工程设计更改单.xls;120606辽宁华能阜新风电220kV中心变工程设计更改单.xls;D:\24.工程设计备份\L辽宁\2008年度\SZ080710-1阜新风电二期220kV中心变\120606服务记录\后台\;SZ080710;;2016/11/28 14:22;4;112 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:16;2017/8/29 7:16;XLS;34;"后台：PRS-700U-标准S-(P1)-V1.40-20101228"" 新版本号 ""301C：ISA-301C-标准（阜新风电中心P7)-M-V3.50-120606"
422;4;D:\24.工程设计备份\L辽宁\2008年度\SZ080710-1阜新风电二期220kV中心变\120606服务记录\后台\120606辽宁华能阜新风电220kV中心变工程设计更改单.xls;120606辽宁华能阜新风电220kV中心变工程设计更改单.xls;D:\24.工程设计备份\L辽宁\2008年度\SZ080710-1阜新风电二期220kV中心变\120606服务记录\后台\;SZ080710;;2016/11/28 14:22;4;112 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:16;2017/8/29 7:16;XLS;35;"后台：PRS-700U-特殊(辽宁阜新风电中心变维护机P2)-S-V1.40-120606"""
137;1;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\131009服务记录\后台\工程设计更改单-yumen.xls;工程设计更改单-yumen.xls;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\131009服务记录\后台\;SZ081109;;2016/11/24 16:32;3;37 KB;Microsoft Excel 97-2003 工作表;2017/8/29 8:12;2017/8/29 8:12;XLS;27;"原版本号 PRS-700U-标准S(玉门镇变P6)-S-V2.00-120629 新版本号 ""PRS-700U-SPARC-标准S-S-V2.30-131009"
138;2;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\131009服务记录\后台\工程设计更改单-yumen.xls;工程设计更改单-yumen.xls;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\131009服务记录\后台\;SZ081109;;2016/11/24 16:32;3;37 KB;Microsoft Excel 97-2003 工作表;2017/8/29 8:12;2017/8/29 8:12;XLS;28;"PRS-700U-X86-标准S-S-V2.30-131009"""
139;1;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\140212服务记录\后台\玉门镇工程设计更改单140212.xls;玉门镇工程设计更改单140212.xls;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\140212服务记录\后台\;SZ081109;;2016/11/24 16:32;2;37 KB;Microsoft Excel 97-2003 工作表;2017/8/29 8:11;2017/8/29 8:11;XLS;22;原版本号 PRS-700U-X86-标准S-S-V2.30-131009 新版本号 PRS-7000-标准X（玉门镇P1）-S10-S-V110-140212
140;1;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\120321服务记录\后台\120321甘肃酒泉330kV玉门镇变监控系统设计更改单.xls;120321甘肃酒泉330kV玉门镇变监控系统设计更改单.xls;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\120321服务记录\后台\;SZ081109;;2016/11/24 16:32;3;113 KB;Microsoft Excel 97-2003 工作表;2017/8/29 8:10;2017/8/29 8:10;XLS;21;"附件：PRS-700U-标准S(玉门镇变P5)-S-V2.00-20120321.rar"" 校验码"
141;2;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\120321服务记录\后台\120321甘肃酒泉330kV玉门镇变监控系统设计更改单.xls;120321甘肃酒泉330kV玉门镇变监控系统设计更改单.xls;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\120321服务记录\后台\;SZ081109;;2016/11/24 16:32;3;113 KB;Microsoft Excel 97-2003 工作表;2017/8/29 8:10;2017/8/29 8:10;XLS;25;"原版本号 PRS-700U-标准S(玉门镇变P4)-S-V2.00-20100819 新版本号 ""PRS-700U-标准S(玉门镇变P5)-S-V2.00-20120321"
142;1;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\120630服务记录\后台\120630甘肃酒泉330kV玉门镇变监控系统设计更改单.xls;120630甘肃酒泉330kV玉门镇变监控系统设计更改单.xls;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\120630服务记录\后台\;SZ081109;;2016/11/24 16:32;3;112 KB;Microsoft Excel 97-2003 工作表;2017/8/29 8:11;2017/8/29 8:11;XLS;22;"附件：PRS-700U-标准S(玉门镇变P2)-S-V2.00-120629.zip"" 校验码"
143;2;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\120630服务记录\后台\120630甘肃酒泉330kV玉门镇变监控系统设计更改单.xls;120630甘肃酒泉330kV玉门镇变监控系统设计更改单.xls;D:\24.工程设计备份\G甘肃\2008年度\SZ081109酒泉330kV玉门镇变\120630服务记录\后台\;SZ081109;;2016/11/24 16:32;3;112 KB;Microsoft Excel 97-2003 工作表;2017/8/29 8:11;2017/8/29 8:11;XLS;26;原版本号 PRS-700U-标准S(玉门镇变P5)-S-V2.00-20120321 新版本号 PRS-700U-标准S(玉门镇变P6)-S-V2.00-120629
264;1;D:\24.工程设计备份\H河南\2008年度\SZ081129濮阳220kV振兴变\130718服务记录\后台\130428河南濮阳220kV振兴变通讯后台设计更改单.xls;130428河南濮阳220kV振兴变通讯后台设计更改单.xls;D:\24.工程设计备份\H河南\2008年度\SZ081129濮阳220kV振兴变\130718服务记录\后台\;SZ081129;;2016/11/28 11:55;1;31 KB;Microsoft Excel 97-2003 工作表;2017/8/29 4:10;2017/8/29 4:10;XLS;20;原版本号 PRS700UV1.40(20080829) 新版本号 PRS-700U-标准X-S-V1.4-130428
268;1;D:\24.工程设计备份\H河南\2008年度\SZ081140驻马店220kV天中变\120607服务记录\后台\120607河南驻马店220kV天中变监控系统设计更改单.xls;120607河南驻马店220kV天中变监控系统设计更改单.xls;D:\24.工程设计备份\H河南\2008年度\SZ081140驻马店220kV天中变\120607服务记录\后台\;SZ081140;;2016/11/28 11:55;2;112 KB;Microsoft Excel 97-2003 工作表;2017/8/29 4:10;2017/8/29 4:10;XLS;23;"附件：PRS-700U-标准S(河南驻马店天中变P1)-S-V1.40-120522.zip"" 校验码"
269;2;D:\24.工程设计备份\H河南\2008年度\SZ081140驻马店220kV天中变\120607服务记录\后台\120607河南驻马店220kV天中变监控系统设计更改单.xls;120607河南驻马店220kV天中变监控系统设计更改单.xls;D:\24.工程设计备份\H河南\2008年度\SZ081140驻马店220kV天中变\120607服务记录\后台\;SZ081140;;2016/11/28 11:55;2;112 KB;Microsoft Excel 97-2003 工作表;2017/8/29 4:10;2017/8/29 4:10;XLS;27;原版本号 PRS700UV1.40(20080829) 新版本号 PRS-700U-标准S(河南驻马店天中变P1)-S-V1.40-120522
265;1;D:\24.工程设计备份\H河南\2008年度\SZ081619-1周口220kV水寨变\090921服务记录\后台\090921.周口220kV水寨变工程设计更改单.xls;090921.周口220kV水寨变工程设计更改单.xls;D:\24.工程设计备份\H河南\2008年度\SZ081619-1周口220kV水寨变\090921服务记录\后台\;SZ081619;;2016/11/28 11:55;3;79 KB;Microsoft Excel 97-2003 工作表;2017/8/29 4:11;2017/8/29 4:11;XLS;17;配置工具安装包：PRS-700U-标准S(汾城变配置工具P3)-S-V1.40-20090818.exe
266;2;D:\24.工程设计备份\H河南\2008年度\SZ081619-1周口220kV水寨变\090921服务记录\后台\090921.周口220kV水寨变工程设计更改单.xls;090921.周口220kV水寨变工程设计更改单.xls;D:\24.工程设计备份\H河南\2008年度\SZ081619-1周口220kV水寨变\090921服务记录\后台\;SZ081619;;2016/11/28 11:55;3;79 KB;Microsoft Excel 97-2003 工作表;2017/8/29 4:11;2017/8/29 4:11;XLS;18;Solaris服务器安装包：PRS-700U-标准X(汾城变P3)-S-V1.40-20090818.rar
267;3;D:\24.工程设计备份\H河南\2008年度\SZ081619-1周口220kV水寨变\090921服务记录\后台\090921.周口220kV水寨变工程设计更改单.xls;090921.周口220kV水寨变工程设计更改单.xls;D:\24.工程设计备份\H河南\2008年度\SZ081619-1周口220kV水寨变\090921服务记录\后台\;SZ081619;;2016/11/28 11:55;3;79 KB;Microsoft Excel 97-2003 工作表;2017/8/29 4:11;2017/8/29 4:11;XLS;25;原版本号 PRS700PV3.01.00.0.Build20080812.1411.exe 新版本号 PRS-700U-标准X(汾城变P3)-S-V1.40-20090818.rar
342;1;D:\24.工程设计备份\J吉林\2008年度\SZ081990中国风电集团220kV综自\101206服务记录\后台\101206.吉林镇赉黑鱼泡风电场设计更改单.xls;101206.吉林镇赉黑鱼泡风电场设计更改单.xls;D:\24.工程设计备份\J吉林\2008年度\SZ081990中国风电集团220kV综自\101206服务记录\后台\;SZ081990;;2016/11/28 10:24;2;48 KB;Microsoft Excel 97-2003 工作表;2017/8/29 6:49;2017/8/29 6:49;XLS;20;"Unix服务器：PRS-700U-标准S-(P2)-V2.30-20101119"" 校验码"
343;2;D:\24.工程设计备份\J吉林\2008年度\SZ081990中国风电集团220kV综自\101206服务记录\后台\101206.吉林镇赉黑鱼泡风电场设计更改单.xls;101206.吉林镇赉黑鱼泡风电场设计更改单.xls;D:\24.工程设计备份\J吉林\2008年度\SZ081990中国风电集团220kV综自\101206服务记录\后台\;SZ081990;;2016/11/28 10:24;2;48 KB;Microsoft Excel 97-2003 工作表;2017/8/29 6:49;2017/8/29 6:49;XLS;24;原版本号 prs700uv20sparcbuild20090331 新版本号 PRS-700U-标准S-(P2)-V2.30-20101119
635;1;D:\24.工程设计备份\S山西\2009年度\SZ090507吕梁220kV柳林变监控系统\121226服务记录\后台\121228山西吕梁220kV柳林变监控系统设计更改单.xls;121228山西吕梁220kV柳林变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ090507吕梁220kV柳林变监控系统\121226服务记录\后台\;SZ090507;;2016/11/28 16:41;2;113 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:33;2017/8/28 22:33;XLS;25;原版本号 PRS-700U-标准X(山西)-S-V3.00-121106 新版本号 PRS-7000-标准X-S-V1.00-121226
636;1;D:\24.工程设计备份\S山西\2009年度\SZ090507吕梁220kV柳林变监控系统\121114服务记录\后台\121114山西吕梁220kV柳林变监控系统设计更改单.xls;121114山西吕梁220kV柳林变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ090507吕梁220kV柳林变监控系统\121114服务记录\后台\;SZ090507;;2016/11/28 16:41;1;113 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:33;2017/8/28 22:33;XLS;26;原版本号 prs700uv20x86build20090508tazhong（特殊） 新版本号 PRS-700U-标准X(山西)-S-V3.00-121106
633;1;D:\24.工程设计备份\S山西\2009年度\SZ090508吕梁220kV离石变监控系统\101206服务记录\后台\101206.吕梁220kV离石变监控系统设计更改单.xls;101206.吕梁220kV离石变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ090508吕梁220kV离石变监控系统\101206服务记录\后台\;SZ090508;;2016/11/28 16:41;2;48 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:41;2017/8/28 22:41;XLS;18;"Unix服务器：PRS-700U-标准X-（P2）-V2.30-20101119"" 校验码"
634;2;D:\24.工程设计备份\S山西\2009年度\SZ090508吕梁220kV离石变监控系统\101206服务记录\后台\101206.吕梁220kV离石变监控系统设计更改单.xls;101206.吕梁220kV离石变监控系统设计更改单.xls;D:\24.工程设计备份\S山西\2009年度\SZ090508吕梁220kV离石变监控系统\101206服务记录\后台\;SZ090508;;2016/11/28 16:41;2;48 KB;Microsoft Excel 97-2003 工作表;2017/8/28 22:41;2017/8/28 22:41;XLS;22;原版本号 prs700uv20x86build20090508tazhong 新版本号 PRS-700U-标准X-（P1）-V2.30-20101012
423;1;D:\24.工程设计备份\L辽宁\2009年度\SZ090893华能阜新风电场三期工程场内220kV升压变\121015服务记录\后台\121015辽宁华能阜新风电三期监控系统设计更改单.xls;121015辽宁华能阜新风电三期监控系统设计更改单.xls;D:\24.工程设计备份\L辽宁\2009年度\SZ090893华能阜新风电场三期工程场内220kV升压变\121015服务记录\后台\;SZ090893;;2016/11/28 14:22;2;113 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:22;2017/8/29 7:22;XLS;26;原版本号 PRS-700U-标准X(辽宁阜新风电场三期P3)-S-V1.40-2010013 新版本号 PRS-700U-标准X(辽宁阜新风电三期P3)-S-V1.40-121015
778;1;D:\24.工程设计备份\X新疆\2009年度\SZ091049华泰二期项目热电站监控\00设计软件\xx变通讯及后台工程软件配置单(+).doc;xx变通讯及后台工程软件配置单(+).doc;D:\24.工程设计备份\X新疆\2009年度\SZ091049华泰二期项目热电站监控\00设计软件\;SZ091049;;2016/11/29 10:26;1;51 KB;Microsoft Word 97 - 2003 文档;2017/8/28 23:31;2017/8/28 23:31;DOC;9;版本说明： PRS-700U-新疆X(新疆华泰二期P1)-S-V2.00-20090619
554;1;D:\24.工程设计备份\S山东\2009年度\SZ091102济南玉函变综自\101206服务记录\后台\101206.山东济南110kV玉函变设计更改单.xls;101206.山东济南110kV玉函变设计更改单.xls;D:\24.工程设计备份\S山东\2009年度\SZ091102济南玉函变综自\101206服务记录\后台\;SZ091102;;2016/11/28 15:49;3;48 KB;Microsoft Excel 97-2003 工作表;2017/8/29 3:09;2017/8/29 3:09;XLS;18;"Unix服务器：PRS-700U-标准X-（P1）-V2.30-20101012"" 校验码"
555;2;D:\24.工程设计备份\S山东\2009年度\SZ091102济南玉函变综自\101206服务记录\后台\101206.山东济南110kV玉函变设计更改单.xls;101206.山东济南110kV玉函变设计更改单.xls;D:\24.工程设计备份\S山东\2009年度\SZ091102济南玉函变综自\101206服务记录\后台\;SZ091102;;2016/11/28 15:49;3;48 KB;Microsoft Excel 97-2003 工作表;2017/8/29 3:09;2017/8/29 3:09;XLS;22;原版本号 PRS-700U-标准X(唐山税东变P3)-S-V2.10-20100415 新版本号 PRS-700U-标准X-（P1）-V2.30-20101012
556;1;D:\24.工程设计备份\S山东\2009年度\SZ091102济南玉函变综自\110505服务记录\后台\110505.山东济南110kV玉函变设计更改单.xls;110505.山东济南110kV玉函变设计更改单.xls;D:\24.工程设计备份\S山东\2009年度\SZ091102济南玉函变综自\110505服务记录\后台\;SZ091102;;2016/11/28 15:49;3;56 KB;Microsoft Excel 97-2003 工作表;2017/8/29 3:09;2017/8/29 3:09;XLS;20;"Unix服务器：PRS-700U-标准X-(P2)-V2.30-20110411"" 校验码"
